timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/20 18:18:28.793, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/20 18:18:58.797, 0, NVIDIA A100-SXM4-40GB, 0 %, 773 MiB, 40960 MiB
2026/09/20 18:19:28.799, 0, NVIDIA A100-SXM4-40GB, 100 %, 5939 MiB, 40960 MiB
2026/09/20 18:19:58.803, 0, NVIDIA A100-SXM4-40GB, 100 %, 5939 MiB, 40960 MiB
2026/09/20 18:20:28.807, 0, NVIDIA A100-SXM4-40GB, 100 %, 5939 MiB, 40960 MiB
2026/09/20 18:20:58.810, 0, NVIDIA A100-SXM4-40GB, 100 %, 5939 MiB, 40960 MiB
2026/09/20 18:21:28.813, 0, NVIDIA A100-SXM4-40GB, 100 %, 5939 MiB, 40960 MiB
2026/09/20 18:21:58.835, 0, NVIDIA A100-SXM4-40GB, 100 %, 5939 MiB, 40960 MiB
2026/09/20 18:22:28.839, 0, NVIDIA A100-SXM4-40GB, 98 %, 5939 MiB, 40960 MiB
2026/09/20 18:22:58.842, 0, NVIDIA A100-SXM4-40GB, 53 %, 5959 MiB, 40960 MiB
2026/09/20 18:23:28.845, 0, NVIDIA A100-SXM4-40GB, 100 %, 26341 MiB, 40960 MiB
2026/09/20 18:23:58.866, 0, NVIDIA A100-SXM4-40GB, 100 %, 26341 MiB, 40960 MiB
2026/09/20 18:24:28.874, 0, NVIDIA A100-SXM4-40GB, 100 %, 26341 MiB, 40960 MiB
2026/09/20 18:24:58.878, 0, NVIDIA A100-SXM4-40GB, 100 %, 26341 MiB, 40960 MiB
2026/09/20 18:25:28.881, 0, NVIDIA A100-SXM4-40GB, 100 %, 26341 MiB, 40960 MiB
2026/09/20 18:25:58.883, 0, NVIDIA A100-SXM4-40GB, 100 %, 26343 MiB, 40960 MiB
2026/09/20 18:26:28.886, 0, NVIDIA A100-SXM4-40GB, 100 %, 26343 MiB, 40960 MiB
