timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/22 16:19:48.269, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:19:53.271, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:19:58.271, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:03.272, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:08.272, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:13.274, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:18.274, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:23.275, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:28.276, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:33.276, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:38.277, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:43.278, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:48.280, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:53.280, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:20:58.281, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:03.281, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:08.282, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:13.283, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:18.283, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:23.284, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:28.285, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:33.286, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:38.287, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:43.288, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:48.289, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:53.289, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:21:58.290, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 16:22:03.291, 0, NVIDIA A100-SXM4-40GB, 0 %, 499 MiB, 40960 MiB
2026/09/22 16:22:08.292, 0, NVIDIA A100-SXM4-40GB, 0 %, 577 MiB, 40960 MiB
2026/09/22 16:22:13.293, 0, NVIDIA A100-SXM4-40GB, 0 %, 581 MiB, 40960 MiB
2026/09/22 16:22:18.294, 0, NVIDIA A100-SXM4-40GB, 0 %, 611 MiB, 40960 MiB
2026/09/22 16:22:23.294, 0, NVIDIA A100-SXM4-40GB, 14 %, 613 MiB, 40960 MiB
2026/09/22 16:22:28.295, 0, NVIDIA A100-SXM4-40GB, 0 %, 613 MiB, 40960 MiB
2026/09/22 16:22:33.296, 0, NVIDIA A100-SXM4-40GB, 16 %, 613 MiB, 40960 MiB
2026/09/22 16:22:38.297, 0, NVIDIA A100-SXM4-40GB, 10 %, 613 MiB, 40960 MiB
2026/09/22 16:22:43.299, 0, NVIDIA A100-SXM4-40GB, 1 %, 613 MiB, 40960 MiB
2026/09/22 16:22:48.299, 0, NVIDIA A100-SXM4-40GB, 15 %, 613 MiB, 40960 MiB
2026/09/22 16:22:53.300, 0, NVIDIA A100-SXM4-40GB, 0 %, 613 MiB, 40960 MiB
2026/09/22 16:22:58.301, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 16:23:03.302, 0, NVIDIA A100-SXM4-40GB, 16 %, 613 MiB, 40960 MiB
2026/09/22 16:23:08.302, 0, NVIDIA A100-SXM4-40GB, 0 %, 613 MiB, 40960 MiB
2026/09/22 16:23:13.303, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 16:23:18.305, 0, NVIDIA A100-SXM4-40GB, 14 %, 613 MiB, 40960 MiB
2026/09/22 16:23:23.306, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 16:23:28.307, 0, NVIDIA A100-SXM4-40GB, 15 %, 613 MiB, 40960 MiB
2026/09/22 16:23:33.308, 0, NVIDIA A100-SXM4-40GB, 16 %, 613 MiB, 40960 MiB
2026/09/22 16:23:38.308, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 16:23:43.309, 0, NVIDIA A100-SXM4-40GB, 0 %, 667 MiB, 40960 MiB
2026/09/22 16:23:48.310, 0, NVIDIA A100-SXM4-40GB, 40 %, 685 MiB, 40960 MiB
2026/09/22 16:23:53.310, 0, NVIDIA A100-SXM4-40GB, 37 %, 685 MiB, 40960 MiB
2026/09/22 16:23:58.312, 0, NVIDIA A100-SXM4-40GB, 40 %, 685 MiB, 40960 MiB
2026/09/22 16:24:03.313, 0, NVIDIA A100-SXM4-40GB, 39 %, 685 MiB, 40960 MiB
2026/09/22 16:24:08.313, 0, NVIDIA A100-SXM4-40GB, 39 %, 685 MiB, 40960 MiB
2026/09/22 16:24:13.314, 0, NVIDIA A100-SXM4-40GB, 39 %, 685 MiB, 40960 MiB
2026/09/22 16:24:18.315, 0, NVIDIA A100-SXM4-40GB, 39 %, 685 MiB, 40960 MiB
2026/09/22 16:24:23.315, 0, NVIDIA A100-SXM4-40GB, 6 %, 685 MiB, 40960 MiB
2026/09/22 16:24:28.316, 0, NVIDIA A100-SXM4-40GB, 0 %, 687 MiB, 40960 MiB
2026/09/22 16:24:33.318, 0, NVIDIA A100-SXM4-40GB, 60 %, 687 MiB, 40960 MiB
2026/09/22 16:24:38.319, 0, NVIDIA A100-SXM4-40GB, 58 %, 687 MiB, 40960 MiB
2026/09/22 16:24:43.320, 0, NVIDIA A100-SXM4-40GB, 59 %, 687 MiB, 40960 MiB
2026/09/22 16:24:48.320, 0, NVIDIA A100-SXM4-40GB, 50 %, 687 MiB, 40960 MiB
2026/09/22 16:24:53.321, 0, NVIDIA A100-SXM4-40GB, 51 %, 687 MiB, 40960 MiB
2026/09/22 16:24:58.321, 0, NVIDIA A100-SXM4-40GB, 61 %, 687 MiB, 40960 MiB
2026/09/22 16:25:03.322, 0, NVIDIA A100-SXM4-40GB, 58 %, 687 MiB, 40960 MiB
2026/09/22 16:25:08.324, 0, NVIDIA A100-SXM4-40GB, 58 %, 687 MiB, 40960 MiB
2026/09/22 16:25:13.325, 0, NVIDIA A100-SXM4-40GB, 61 %, 687 MiB, 40960 MiB
2026/09/22 16:25:18.325, 0, NVIDIA A100-SXM4-40GB, 61 %, 687 MiB, 40960 MiB
2026/09/22 16:25:23.326, 0, NVIDIA A100-SXM4-40GB, 61 %, 687 MiB, 40960 MiB
2026/09/22 16:25:28.326, 0, NVIDIA A100-SXM4-40GB, 61 %, 687 MiB, 40960 MiB
{"status": "PREDICTOR_LEVEL_COMPLETE", "paired_mechanism_gate": {"status": "FAIL", "conditions": {"median_episode_recall120_delta_strictly_positive": true, "strictly_improved_episodes_min": false, "treatment_bad_block_count_strictly_less_than_control": true, "treatment_worst_block_recall_not_lower": true, "median_episode_paired_standardized_regret_delta_max": true, "finite_interface_and_paired_noise_required": true}, "per_episode": [{"episode_id": 2819, "recall120_delta_treatment_minus_control": 0.15000000000000002, "standardized_regret120_delta_treatment_minus_control": -0.0801408588886261, "strict_improvement": true}, {"episode_id": 5479, "recall120_delta_treatment_minus_control": 0.050000000000000044, "standardized_regret120_delta_treatment_minus_control": -0.03745854273438454, "strict_improvement": true}, {"episode_id": 9523, "recall120_delta_treatment_minus_control": 0.01666666666666672, "standardized_regret120_delta_treatment_minus_control": -0.0013784465845674276, "strict_improvement": true}, {"episode_id": 12015, "recall120_delta_treatment_minus_control": -0.3500000000000001, "standardized_regret120_delta_treatment_minus_control": 0.28623224794864655, "strict_improvement": false}, {"episode_id": 15094, "recall120_delta_treatment_minus_control": 0.0, "standardized_regret120_delta_treatment_minus_control": 0.0, "strict_improvement": false}, {"episode_id": 15229, "recall120_delta_treatment_minus_control": 0.23333333333333334, "standardized_regret120_delta_treatment_minus_control": -0.43020887672901154, "strict_improvement": true}, {"episode_id": 17934, "recall120_delta_treatment_minus_control": 0.0, "standardized_regret120_delta_treatment_minus_control": 0.0, "strict_improvement": false}, {"episode_id": 18307, "recall120_delta_treatment_minus_control": 0.0, "standardized_regret120_delta_treatment_minus_control": 0.0, "strict_improvement": false}], "median_recall120_delta": 0.00833333333333336, "median_standardized_regret120_delta": -0.0006892232922837138, "control_bad_blocks": 17, "treatment_bad_blocks": 16, "control_worst_block_recall120": 0.0, "treatment_worst_block_recall120": 0.3, "paired_unit": "episode after median over six nested blocks"}, "separate_absolute_gate": {"status": "FAIL", "conditions": {"median_recall120_min": true, "minimum_block_recall120_min": false, "each_stratum_median_recall120_min": false, "finite": true}, "not_a_predictor_replacement_gate": true}, "output": "/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/anchor-aligned-bank/artifacts/25223859.pbs101/anchor_aligned_bank_summary.json"}
2026/09/22 16:25:33.327, 0, NVIDIA A100-SXM4-40GB, 0 %, 687 MiB, 40960 MiB
2026/09/22 16:25:38.328, 0, NVIDIA A100-SXM4-40GB, 0 %, 687 MiB, 40960 MiB
2026/09/22 16:25:43.328, 0, NVIDIA A100-SXM4-40GB, 0 %, 687 MiB, 40960 MiB
2026/09/22 16:25:48.330, 0, NVIDIA A100-SXM4-40GB, 0 %, 687 MiB, 40960 MiB
2026/09/22 16:25:53.331, 0, NVIDIA A100-SXM4-40GB, 0 %, 687 MiB, 40960 MiB
