LEWM_DENSE_RANK_JOB=24908446.pbs101
HOST=x1000c2s1b0n1
NVIDIA A100-SXM4-40GB, 40960 MiB
timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/21 18:35:45.967, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:35:50.970, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:35:55.971, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:00.971, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:05.972, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:10.973, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:15.973, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:20.974, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:25.975, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:30.976, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:35.977, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:40.979, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:45.979, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:50.980, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:36:56.148, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:01.148, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:06.149, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:11.149, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:16.151, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:21.152, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:26.152, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:31.153, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:36.153, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:41.154, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:46.155, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:51.155, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:37:56.156, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:38:01.157, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:38:06.157, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:38:11.158, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:38:16.159, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:38:21.159, 0, 0 %, 5 MiB, 40960 MiB
2026/09/21 18:38:26.235, 0, 0 %, 499 MiB, 40960 MiB
2026/09/21 18:38:31.235, 0, 0 %, 501 MiB, 40960 MiB
2026/09/21 18:38:36.236, 0, 0 %, 581 MiB, 40960 MiB
2026/09/21 18:38:41.236, 0, 0 %, 611 MiB, 40960 MiB
2026/09/21 18:38:46.238, 0, 9 %, 613 MiB, 40960 MiB
2026/09/21 18:38:51.239, 0, 4 %, 613 MiB, 40960 MiB
2026/09/21 18:38:56.239, 0, 9 %, 613 MiB, 40960 MiB
2026/09/21 18:39:01.242, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 18:39:06.243, 0, 12 %, 613 MiB, 40960 MiB
2026/09/21 18:39:11.243, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 18:39:16.244, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 18:39:21.245, 0, 7 %, 613 MiB, 40960 MiB
2026/09/21 18:39:26.245, 0, 0 %, 613 MiB, 40960 MiB
2026/09/21 18:39:31.246, 0, 0 %, 613 MiB, 40960 MiB
2026/09/21 18:39:36.247, 0, 0 %, 613 MiB, 40960 MiB
2026/09/21 18:39:41.247, 0, 0 %, 613 MiB, 40960 MiB
2026/09/21 18:39:46.248, 0, 0 %, 667 MiB, 40960 MiB
2026/09/21 18:39:51.248, 0, 41 %, 685 MiB, 40960 MiB
2026/09/21 18:39:56.249, 0, 41 %, 685 MiB, 40960 MiB
2026/09/21 18:40:01.250, 0, 41 %, 685 MiB, 40960 MiB
2026/09/21 18:40:06.250, 0, 57 %, 687 MiB, 40960 MiB
2026/09/21 18:40:11.251, 0, 40 %, 697 MiB, 40960 MiB
2026/09/21 18:40:16.251, 0, 40 %, 697 MiB, 40960 MiB
2026/09/21 18:40:21.253, 0, 39 %, 697 MiB, 40960 MiB
2026/09/21 18:40:26.253, 0, 40 %, 697 MiB, 40960 MiB
2026/09/21 18:40:31.254, 0, 80 %, 697 MiB, 40960 MiB
2026/09/21 18:40:36.256, 0, 40 %, 697 MiB, 40960 MiB
2026/09/21 18:40:41.256, 0, 40 %, 697 MiB, 40960 MiB
2026/09/21 18:40:46.257, 0, 38 %, 697 MiB, 40960 MiB
2026/09/21 18:40:51.258, 0, 38 %, 697 MiB, 40960 MiB
{"status": "PREDICTOR_LEVEL_COMPLETE", "screening_gate": "GO", "output": "/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/dense-rank/artifacts/24908446.pbs101"}
2026/09/21 18:40:56.259, 0, 0 %, 697 MiB, 40960 MiB
2026/09/21 18:41:01.260, 0, 0 %, 697 MiB, 40960 MiB
2026/09/21 18:41:06.260, 0, 0 %, 697 MiB, 40960 MiB
2026/09/21 18:41:11.261, 0, 0 %, 697 MiB, 40960 MiB
