LEWM_EMA_TEMPORAL_CONFIRM_JOB=25142797.pbs101
HOST=x1000c1s3b0n0
MANIFEST_512=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/state-coverage/artifacts/24926383.pbs101/context_manifest_512.json
PREPARED_ROWS_512=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/state-coverage/artifacts/24926383.pbs101/prepared_512/prepared_rows.pt
FRESH_SELECTION=valid[520:528]
NVIDIA A100-SXM4-40GB, 40960 MiB
timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/22 10:39:18.167, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:23.168, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:28.168, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:33.169, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:38.170, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:43.170, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:48.171, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:53.172, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:39:58.172, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:03.173, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:08.174, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:13.174, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:18.175, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:23.176, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:28.176, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:33.177, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:38.177, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:43.178, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:48.180, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:53.180, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:40:58.181, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:41:03.182, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:41:08.182, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:41:13.183, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:41:18.184, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 10:41:23.184, 0, 0 %, 499 MiB, 40960 MiB
2026/09/22 10:41:28.185, 0, 0 %, 581 MiB, 40960 MiB
2026/09/22 10:41:33.185, 0, 0 %, 611 MiB, 40960 MiB
2026/09/22 10:41:38.186, 0, 0 %, 663 MiB, 40960 MiB
2026/09/22 10:41:43.187, 0, 40 %, 681 MiB, 40960 MiB
2026/09/22 10:41:48.187, 0, 37 %, 681 MiB, 40960 MiB
2026/09/22 10:41:53.188, 0, 38 %, 681 MiB, 40960 MiB
2026/09/22 10:41:58.188, 0, 30 %, 681 MiB, 40960 MiB
2026/09/22 10:42:03.189, 0, 37 %, 681 MiB, 40960 MiB
2026/09/22 10:42:08.189, 0, 37 %, 681 MiB, 40960 MiB
2026/09/22 10:42:13.190, 0, 40 %, 681 MiB, 40960 MiB
2026/09/22 10:42:18.191, 0, 40 %, 681 MiB, 40960 MiB
2026/09/22 10:42:23.191, 0, 0 %, 669 MiB, 40960 MiB
{"status": "PREDICTOR_LEVEL_COMPLETE", "primary_gate": "NO-GO", "output": "/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/ema-temporal-confirm/artifacts/25142797.pbs101/lewm_ema_temporal_confirm_summary.json"}
2026/09/22 10:42:28.192, 0, 0 %, 637 MiB, 40960 MiB
2026/09/22 10:42:33.192, 0, 0 %, 637 MiB, 40960 MiB
2026/09/22 10:42:38.193, 0, 0 %, 637 MiB, 40960 MiB
