LEWM_SCORE_DISTILL_JOB=24916520.pbs101
HOST=x1000c0s0b0n0
PREPARED_ROWS=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/dense-rank/artifacts/24908446.pbs101/prepared_rows.pt
NVIDIA A100-SXM4-40GB, 40960 MiB
timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/21 19:17:23.475, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:17:28.477, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:17:33.478, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:17:38.478, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:17:43.479, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:17:48.480, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:17:53.481, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:17:58.481, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:03.482, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:08.482, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:13.483, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:18.484, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:23.484, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:28.485, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:33.485, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:38.486, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:43.487, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:48.487, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:53.488, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:18:58.488, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:19:03.489, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:19:08.490, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:19:13.490, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:19:18.491, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:19:23.492, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:19:28.492, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:19:33.493, 0, 0 %, 529 MiB, 40960 MiB
2026/09/21 19:19:38.493, 0, 0 %, 665 MiB, 40960 MiB
2026/09/21 19:19:43.494, 0, 0 %, 683 MiB, 40960 MiB
2026/09/21 19:19:48.495, 0, 40 %, 683 MiB, 40960 MiB
2026/09/21 19:19:53.495, 0, 40 %, 683 MiB, 40960 MiB
2026/09/21 19:19:58.497, 0, 40 %, 683 MiB, 40960 MiB
2026/09/21 19:20:03.497, 0, 40 %, 683 MiB, 40960 MiB
2026/09/21 19:20:08.498, 0, 30 %, 683 MiB, 40960 MiB
2026/09/21 19:20:13.498, 0, 0 %, 685 MiB, 40960 MiB
2026/09/21 19:20:18.499, 0, 34 %, 695 MiB, 40960 MiB
2026/09/21 19:20:23.500, 0, 40 %, 695 MiB, 40960 MiB
2026/09/21 19:20:28.500, 0, 40 %, 695 MiB, 40960 MiB
2026/09/21 19:20:33.501, 0, 40 %, 695 MiB, 40960 MiB
2026/09/21 19:20:38.501, 0, 40 %, 697 MiB, 40960 MiB
2026/09/21 19:20:43.502, 0, 33 %, 697 MiB, 40960 MiB
2026/09/21 19:20:48.503, 0, 40 %, 697 MiB, 40960 MiB
{"status": "PREDICTOR_LEVEL_COMPLETE", "screening_gate": "NO-GO", "output": "/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/score-distill/artifacts/24916520.pbs101"}
2026/09/21 19:20:53.504, 0, 0 %, 697 MiB, 40960 MiB
2026/09/21 19:20:58.505, 0, 0 %, 697 MiB, 40960 MiB
2026/09/21 19:21:03.505, 0, 0 %, 697 MiB, 40960 MiB
