LEWM_STATE_ACTION_PREFIX_GRU_JOB=25158955.pbs101
HOST=x1000c1s3b0n1
BALANCED_PREPARED_ROWS_CANDIDATE=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/temporal-balanced-train/artifacts/25152151.pbs101/prepared_balanced_rows.pt
NVIDIA A100-SXM4-40GB, 40960 MiB
timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/22 11:34:59.440, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:04.441, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:09.442, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:14.443, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:19.443, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:24.444, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:29.445, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:34.445, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:39.447, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:44.448, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:49.448, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:54.449, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:35:59.450, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:04.451, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:09.452, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:14.452, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:19.453, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:24.453, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:29.454, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:34.455, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:39.455, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:44.456, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:36:49.456, 0, 0 %, 499 MiB, 40960 MiB
2026/09/22 11:36:54.457, 0, 0 %, 581 MiB, 40960 MiB
2026/09/22 11:36:59.458, 0, 0 %, 611 MiB, 40960 MiB
2026/09/22 11:37:04.458, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:37:09.459, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:37:14.460, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:37:19.461, 0, 10 %, 613 MiB, 40960 MiB
2026/09/22 11:37:24.461, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:37:29.462, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:37:34.463, 0, 2 %, 613 MiB, 40960 MiB
2026/09/22 11:37:39.463, 0, 15 %, 613 MiB, 40960 MiB
2026/09/22 11:37:44.464, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:37:49.465, 0, 12 %, 613 MiB, 40960 MiB
2026/09/22 11:37:54.466, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:37:59.466, 0, 11 %, 613 MiB, 40960 MiB
2026/09/22 11:38:04.467, 0, 12 %, 613 MiB, 40960 MiB
2026/09/22 11:38:09.468, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:38:14.469, 0, 0 %, 663 MiB, 40960 MiB
2026/09/22 11:38:19.469, 0, 35 %, 681 MiB, 40960 MiB
2026/09/22 11:38:24.471, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:38:29.472, 0, 37 %, 681 MiB, 40960 MiB
2026/09/22 11:38:34.473, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:38:39.473, 0, 40 %, 681 MiB, 40960 MiB
2026/09/22 11:38:44.475, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:38:49.476, 0, 40 %, 681 MiB, 40960 MiB
2026/09/22 11:38:54.476, 0, 41 %, 693 MiB, 40960 MiB
2026/09/22 11:38:59.477, 0, 39 %, 693 MiB, 40960 MiB
2026/09/22 11:39:04.477, 0, 40 %, 693 MiB, 40960 MiB
2026/09/22 11:39:09.479, 0, 40 %, 693 MiB, 40960 MiB
2026/09/22 11:39:14.480, 0, 39 %, 693 MiB, 40960 MiB
2026/09/22 11:39:19.482, 0, 34 %, 693 MiB, 40960 MiB
2026/09/22 11:39:24.483, 0, 39 %, 693 MiB, 40960 MiB
2026/09/22 11:39:29.485, 0, 40 %, 693 MiB, 40960 MiB
2026/09/22 11:39:34.487, 0, 39 %, 693 MiB, 40960 MiB
2026/09/22 11:39:39.487, 0, 39 %, 637 MiB, 40960 MiB
{"status": "PREDICTOR_LEVEL_COMPLETE", "primary_gate": "NO-GO", "output": "/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/state-action-prefix-gru/artifacts/25158955.pbs101/lewm_state_action_prefix_gru_summary.json"}
2026/09/22 11:39:44.488, 0, 0 %, 637 MiB, 40960 MiB
2026/09/22 11:39:49.489, 0, 0 %, 637 MiB, 40960 MiB
2026/09/22 11:39:54.489, 0, 0 %, 637 MiB, 40960 MiB
