LEWM_STATE_COVERAGE_JOB=24926383.pbs101
HOST=x1000c3s7b0n1
REFERENCE=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/score-distill/artifacts/24916520.pbs101/lewm_score_distill_summary.json
NVIDIA A100-SXM4-40GB, 40960 MiB
timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/21 19:43:00.927, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:05.928, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:10.929, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:15.929, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:20.930, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:25.931, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:30.932, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:35.933, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:40.933, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:45.934, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:50.934, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:43:55.935, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:00.936, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:05.937, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:10.937, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:15.938, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:20.939, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:25.939, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:30.940, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:35.941, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:40.943, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:45.944, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:50.945, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:44:55.946, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:45:00.947, 0, 0 %, 1 MiB, 40960 MiB
2026/09/21 19:45:05.948, 0, 0 %, 577 MiB, 40960 MiB
2026/09/21 19:45:10.949, 0, 0 %, 581 MiB, 40960 MiB
2026/09/21 19:45:15.949, 0, 0 %, 611 MiB, 40960 MiB
2026/09/21 19:45:20.951, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:45:28.111, 0, 0 %, 613 MiB, 40960 MiB
2026/09/21 19:45:33.112, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:45:38.112, 0, 15 %, 613 MiB, 40960 MiB
2026/09/21 19:45:43.114, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:45:48.116, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:45:53.117, 0, 13 %, 613 MiB, 40960 MiB
2026/09/21 19:45:58.118, 0, 16 %, 613 MiB, 40960 MiB
2026/09/21 19:46:03.119, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:46:08.119, 0, 0 %, 613 MiB, 40960 MiB
2026/09/21 19:46:13.120, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:46:18.121, 0, 11 %, 613 MiB, 40960 MiB
2026/09/21 19:46:23.121, 0, 10 %, 613 MiB, 40960 MiB
2026/09/21 19:46:28.122, 0, 0 %, 613 MiB, 40960 MiB
2026/09/21 19:46:33.123, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:46:38.124, 0, 15 %, 613 MiB, 40960 MiB
2026/09/21 19:46:43.125, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:46:48.125, 0, 8 %, 613 MiB, 40960 MiB
2026/09/21 19:46:53.126, 0, 7 %, 639 MiB, 40960 MiB
