LEWM_TAIL_ROBUST_JOB=24933682.pbs101
HOST=x1000c0s1b0n0
MANIFEST_512=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/state-coverage/artifacts/24926383.pbs101/context_manifest_512.json
PREPARED_ROWS_512=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/state-coverage/artifacts/24926383.pbs101/prepared_512/prepared_rows.pt
REFERENCE=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/state-coverage/artifacts/24926383.pbs101/lewm_state_coverage_summary.json
NVIDIA A100-SXM4-40GB, 40960 MiB
timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/22 01:12:14.847, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:19.849, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:24.850, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:29.851, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:34.852, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:39.853, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:44.853, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:49.855, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:54.855, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:12:59.857, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:04.857, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:09.858, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:14.858, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:19.859, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:24.861, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:29.861, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:34.863, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:39.863, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:45.070, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:50.071, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:13:55.073, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:14:00.074, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 01:14:05.076, 0, 0 %, 537 MiB, 40960 MiB
2026/09/22 01:14:10.076, 0, 0 %, 671 MiB, 40960 MiB
2026/09/22 01:14:15.078, 0, 40 %, 679 MiB, 40960 MiB
2026/09/22 01:14:20.079, 0, 39 %, 679 MiB, 40960 MiB
2026/09/22 01:14:25.081, 0, 39 %, 679 MiB, 40960 MiB
2026/09/22 01:14:30.082, 0, 39 %, 679 MiB, 40960 MiB
2026/09/22 01:14:35.084, 0, 38 %, 679 MiB, 40960 MiB
2026/09/22 01:14:40.086, 0, 39 %, 679 MiB, 40960 MiB
2026/09/22 01:14:45.087, 0, 40 %, 679 MiB, 40960 MiB
2026/09/22 01:14:50.089, 0, 0 %, 641 MiB, 40960 MiB
2026/09/22 01:14:55.159, 0, 0 %, 643 MiB, 40960 MiB
2026/09/22 01:15:00.160, 0, 38 %, 685 MiB, 40960 MiB
2026/09/22 01:15:05.161, 0, 36 %, 685 MiB, 40960 MiB
2026/09/22 01:15:10.163, 0, 40 %, 685 MiB, 40960 MiB
2026/09/22 01:15:15.164, 0, 39 %, 685 MiB, 40960 MiB
2026/09/22 01:15:20.166, 0, 40 %, 685 MiB, 40960 MiB
2026/09/22 01:15:25.167, 0, 40 %, 685 MiB, 40960 MiB
2026/09/22 01:15:30.169, 0, 40 %, 685 MiB, 40960 MiB
2026/09/22 01:15:35.170, 0, 38 %, 685 MiB, 40960 MiB
{"status": "PREDICTOR_LEVEL_COMPLETE", "primary_gate": "NO-GO", "output": "/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/tail-robust/artifacts/24933682.pbs101/lewm_tail_robust_summary.json"}
2026/09/22 01:15:40.171, 0, 0 %, 637 MiB, 40960 MiB
2026/09/22 01:15:45.172, 0, 0 %, 637 MiB, 40960 MiB
2026/09/22 01:15:50.172, 0, 0 %, 637 MiB, 40960 MiB
