timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/22 15:30:16.040, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:21.042, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:26.042, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:31.044, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:36.045, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:41.066, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:46.067, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:51.068, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:30:56.069, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:01.069, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:06.070, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:11.071, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:16.072, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:21.073, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:26.073, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:31.074, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:36.075, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:41.076, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:46.077, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:51.077, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:31:56.078, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:01.079, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:06.079, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:11.080, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:16.081, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:21.082, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:26.083, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:31.084, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:36.084, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:41.085, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:46.086, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 15:32:51.087, 0, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2026/09/22 15:32:56.088, 0, NVIDIA A100-SXM4-40GB, 0 %, 499 MiB, 40960 MiB
2026/09/22 15:33:01.089, 0, NVIDIA A100-SXM4-40GB, 0 %, 581 MiB, 40960 MiB
2026/09/22 15:33:06.090, 0, NVIDIA A100-SXM4-40GB, 0 %, 581 MiB, 40960 MiB
2026/09/22 15:33:11.090, 0, NVIDIA A100-SXM4-40GB, 0 %, 611 MiB, 40960 MiB
2026/09/22 15:33:16.091, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 15:33:21.093, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 15:33:26.093, 0, NVIDIA A100-SXM4-40GB, 0 %, 613 MiB, 40960 MiB
2026/09/22 15:33:31.094, 0, NVIDIA A100-SXM4-40GB, 16 %, 613 MiB, 40960 MiB
2026/09/22 15:33:36.095, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 15:33:41.096, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 15:33:46.096, 0, NVIDIA A100-SXM4-40GB, 8 %, 613 MiB, 40960 MiB
2026/09/22 15:33:51.098, 0, NVIDIA A100-SXM4-40GB, 16 %, 613 MiB, 40960 MiB
2026/09/22 15:33:56.099, 0, NVIDIA A100-SXM4-40GB, 20 %, 613 MiB, 40960 MiB
