LEWM_TEMPORAL_BALANCED_JOB=25152151.pbs101
HOST=x1000c1s3b0n0
PREPARED_ROWS_CONTROL=/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/state-coverage/artifacts/24926383.pbs101/prepared_512/prepared_rows.pt
NVIDIA A100-SXM4-40GB, 40960 MiB
timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/22 11:12:01.115, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:12:06.116, 0, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:12:11.116, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:12:16.117, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:12:21.118, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:12:26.118, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:12:31.119, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:12:36.120, 0, 14 %, 613 MiB, 40960 MiB
2026/09/22 11:12:41.121, 0, 11 %, 613 MiB, 40960 MiB
2026/09/22 11:12:46.121, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:12:51.122, 0, 12 %, 613 MiB, 40960 MiB
2026/09/22 11:12:56.123, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:13:01.123, 0, 8 %, 613 MiB, 40960 MiB
2026/09/22 11:13:06.124, 0, 16 %, 613 MiB, 40960 MiB
2026/09/22 11:13:11.125, 0, 24 %, 613 MiB, 40960 MiB
2026/09/22 11:13:16.125, 0, 9 %, 613 MiB, 40960 MiB
2026/09/22 11:13:21.126, 0, 60 %, 639 MiB, 40960 MiB
2026/09/22 11:13:26.127, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:13:31.127, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:13:36.128, 0, 40 %, 681 MiB, 40960 MiB
2026/09/22 11:13:41.128, 0, 40 %, 681 MiB, 40960 MiB
2026/09/22 11:13:46.129, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:13:51.129, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:13:56.130, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:14:01.131, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:14:06.131, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:14:11.132, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:14:16.132, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:14:21.133, 0, 38 %, 681 MiB, 40960 MiB
2026/09/22 11:14:26.134, 0, 39 %, 681 MiB, 40960 MiB
2026/09/22 11:14:31.134, 0, 39 %, 681 MiB, 40960 MiB
{"status": "PREDICTOR_LEVEL_COMPLETE", "primary_gate": "NO-GO", "output": "/scratch/users/ntu/yguo017/dino-wm-wall/meeting-ready/02-horizon-weighted-recurrent-student/lewm-transfer/temporal-balanced-train/artifacts/25152151.pbs101/lewm_temporal_balanced_train_summary.json"}
2026/09/22 11:14:36.135, 0, 0 %, 633 MiB, 40960 MiB
